listing_id,artist,title,label,catno,format,price,listed,accept_offer,external_id,location
684498939,Don Cherry & The Jazz Composer's Orchestra,Relativity Suite,"JCOA Records, Virgin",J 2001,"LP, Album",18,2019-01-22 01:49:28,N,,
687051028,Hieroglyphic Being & J.I.T.U. Ahn-Sahm-Buhl,We Are Not The First,Rvng Intl.,RVNGNL33,"2xLP, Album",10,2019-01-22 01:49:28,N,,
876617124,"Gustav Mahler, Leonard Bernstein, Wiener Philharmoniker",Symphonie No.5,Deutsche Grammophon,423 608-1,"LP, Dig",50,2019-01-22 03:19:01,N,,
876545891,The Cure,Boys Don't Cry,"Fiction Records, Fiction Records","SPELP 26, 815 011-1","LP, Album, RE",11,2019-02-01 00:24:53,N,,
876545150,Steve Reich - Kronos Quartet / Pat Metheny,Different Trains / Electric Counterpoint,Elektra Nonesuch,979 176-1,"LP, Album",33,2019-02-01 00:24:53,N,,
884407533,Richie Hawtin,Minus Orange,M_nus,ORANGE,"12"", Blu",10,2019-02-01 01:31:04,N,,
884526209,"Johannes Brahms / Jacqueline Du Pré, Daniel Barenboim",The Two Sonatas For Cello And Piano,His Master's Voice,ASD 2436,LP,32,2019-02-01 04:14:11,N,,
884410839,Palladian Ensemble,An Excess Of Pleasure,Linn Records,CHK010,LP,15,2019-02-12 11:20:16,N,,
108135386,Fvrtvr,Gobi Wow,Never Come Ashore,NCA LP 1,"LP, Ltd",7,2019-02-18 10:58:50,N,,
884402347,Actress,Splazsh,Honest Jon's Records,HJRLP49,"2x12"", Album",6,2019-02-19 09:25:34,N,,
884402730,John Lindberg Trio (2) With George Lewis And Barry Altschul,Give And Take,Black Saint,BSR 0072,"LP, Album",5,2019-02-19 09:25:34,N,,
876579693,Pierre Boulez - Arnold Schoenberg,Moses Und Aron,CBS,79201,Box + 2xLP,8,2019-02-19 09:25:34,N,,
684499443,Dame Moura Lympany,Chopin Waltzes,His Master's Voice,CSD 1301,"LP, Album",30,2019-03-18 12:17:21,N,,
674680324,Emanuel Feuermann,The Art of Emanuel Feuermann,RCA Victrola,VIC 1476,"LP, Mono, RE",6,2019-03-21 01:50:35,N,,
876549989,Group Doueh,Zayna Jumma,"Sublime Frequencies, Sublime Frequencies","SF 066, SF066","LP, Album",8,2019-03-21 01:50:35,N,,
902802657,"Gustav Mahler, Berliner Philharmoniker, Herbert von Karajan",9. Symphonie,Deutsche Grammophon,2707 125,2xLP + Box,4,2019-03-21 01:50:35,N,,
876614279,"Johannes Brahms, Steven Isserlis, Peter Evans (5)",Cello Sonatas,Hyperion,A66159,LP,6,2019-03-21 01:50:35,N,,
876545233,Lifted (4),1,Pan (3),PAN61,"LP, Album",6,2019-03-21 01:50:35,N,,
906681956,Neil Young & Crazy Horse,Zuma,"Reprise Records, Hispavox","HRES 291-75, HRES 291-75 (LS)","LP, Album",8,2019-03-21 01:50:35,N,,
876396441,Russell Haswell,In It (Immersive Live Salvage),Editions Mego,eMEGO 115,"LP, Amb + DVD, Ltd, Multichannel, 5.1",7,2019-03-21 01:50:35,N,,
909556610,Colleen,The Golden Morning Breaks,Leaf,BAY 48V,"LP, Album, Ltd",18,2019-03-26 07:39:41,N,,
906682360,"Dmitri Shostakovich, Galina Vishnevskaya, Nicolai Gedda, Dimiter Petkov, Mstislav Rostropovich",Lady Macbeth Of Mtsensk,"His Master's Voice, His Master's Voice","SLS 5157, 0C 161-03 374/6",3xLP + Box,10,2019-03-26 07:39:41,N,,
906680948,Le Tigre,Feminist Sweepstakes,Chicks On Speed Records,COSR005,"LP, Album",11,2019-03-30 07:18:55,N,,
